Name,zcmb,zhel,error,mb,error_mb,X1,error_X1,c,error_c,LogMst,error_Mst,tmax,error_tmax,"cov(mb,s)","cov(mb,c)","cov(s,c)",set,Radeg,Dedeg,bias,omegam,error_omegam,alpha,error_alpha,beta,error_beta,MB1,error_MB1,deltaM,error_deltaM,deltaM_9,deltaM_9.5,deltaM_10.5,deltaM_11,deltaM_9.9,deltaM_10.1,chi_sq,mydeltaM,mydeltaM_max,mydeltaM_min,deltaM_sSFR,deltaM_sSFR_err,,Host_Galaxy_Data,SN_Name,zcmb,logMst,Mst_upper,Mst_lower,logSFR,SFR_upper,SFR_lower,logsSFR,sSFR_upper,sSFR_lower,local_SFR,local_SFR_upper,local_SFR_lower
03D1au,0.503084,0.5043,0,23.001698,0.088031,1.273191,0.150058,-0.012353,0.030011,9.517,0.1105,52909.74522,0.214332,0.00079,0.00044,-3.00E-05,1,36.04321,-4.037469,0.001697,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1au,0.504,9.55,9.68,9.46,0.63,1.21,0,-8.92,-8.25,-9.68,,,
03D1aw,0.580724,0.582,0,23.573937,0.090132,0.974346,0.273823,-0.025076,0.036691,9.169,0.088,52902.898,0.352732,0.002823,0.000415,0.001574,1,36.061634,-4.517158,0.000843,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1aw,0.582,9.21,9.25,9.07,0.87,0.9,0.5,-8.34,-8.17,-8.75,,,
03D1ax,0.494795,0.496,0,22.960139,0.08811,-0.728837,0.102069,-0.099683,0.030305,11.58,0.1125,52915.92367,0.111634,0.000542,0.000475,-2.40E-05,1,36.097287,-4.720774,0.001692,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1ax,0.496,11.61,11.76,11.53,<(-3),,,,,,,,
03D1bp,0.345928,0.347,0,22.398137,0.087263,-1.15511,0.112834,-0.040581,0.026679,10.821,0.1235,52920.24902,0.102828,0.001114,0.000616,0.000295,1,36.657235,-4.838779,-0.00027,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1bp,0.347,10.85,11.05,10.8,0.71,1.04,0.38,-10.14,-9.76,-10.67,,,
03D1co,0.677662,0.679,0,24.078115,0.098356,0.61882,0.404295,-0.03938,0.067403,8.647,0.284,52954.45834,0.454715,0.011857,0.00078,0.005898,1,36.567748,-4.93505,-0.002855,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1co,0.679,8.69,9.19,8.63,-0.06,0.6,-0.49,-8.75,-8.03,-9.68,,,
03D1dt,0.610712,0.612,0,23.285241,0.092877,-1.161563,1.641345,-0.094943,0.049652,9.715,0.092,52962.2532,0.976562,0.029671,0.000947,0.044357,1,36.629968,-4.052341,2.60E-05,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1dt,0.612,9.76,9.84,9.65,0.41,0.57,0.25,-9.35,-9.08,-9.59,,,
03D1ew,0.866494,0.868,0,24.353678,0.106037,0.376409,0.348004,-0.063269,0.067817,8.53,0.805,52991.74163,0.665126,0.003181,-0.001601,0.004093,1,36.058795,-4.665852,-0.017996,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1ew,0.868,8.58,9.28,7.67,-0.96,0.36,-3,-9.54,-7.31,-12.28,,,
03D1fc,0.330932,0.332,0,21.861412,0.086437,0.650394,0.118542,-0.017577,0.023794,10.391,0.036,53002.76381,0.104433,0.001006,0.000527,0.00054,1,36.431648,-4.144059,-0.000526,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1fc,0.332,10.41,10.43,10.36,0.47,0.72,0.23,-9.94,-9.64,-10.2,,,
03D1fq,0.798566,0.8,0,24.510389,0.101777,-1.056666,0.406837,-0.055975,0.064955,10.651,0.127,52999.21305,0.655817,0.005897,-0.001115,0.003551,1,36.731935,-4.302217,-0.011577,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D1fq,0.8,10.7,10.87,10.61,0.59,0.88,-3,-10.11,-9.73,-13.87,,,
03D3aw,0.449562,0.449,0,22.667126,0.091912,0.810113,0.232169,-0.085962,0.038205,10.695,0.034,52767.32808,0.200656,0.005474,0.000792,0.000662,1,215.223049,52.605624,0.0014,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D3aw,0.449,10.73,10.75,10.68,0.57,0.62,0.55,-10.16,-10.06,-10.2,,,
